cell,variant,seed,target,budget,ttt_cpu,ttt_it,cpu,iters,best,wall
"K8(9,4)",base,9,10800,100,25.6162,31,25.616,31,10775,25.62
"K6(6,3)",p5+fix0,9,10,45,-1.0,-1,45.0,771680,15,45.0
"K6(8,4)",p5+fix0,8,20,90,1.4255,824,1.425,824,20,1.43
"K6(8,4)",base,4,20,90,8.4741,866,8.474,866,20,8.47
"K8(9,4)",base,7,10800,100,22.6509,28,22.651,28,10785,22.65
"K6(6,3)",p5+ucache,13,10,45,1.3102,20341,1.31,20341,10,1.31
"K6(8,4)",base,15,20,90,7.4498,761,7.45,761,20,7.45
"K8(9,4)",p5+wide,15,10800,100,3.0643,23,3.064,23,10795,3.06
"K6(8,4)",p5,15,20,90,1.3681,761,1.368,761,20,1.37
"K6(8,4)",p5,20,20,90,0.687,381,0.687,381,20,0.69
"K6(8,4)",p5,8,20,90,0.5554,310,0.555,310,20,0.56
"K6(6,3)",p5+ucache,10,10,45,6.5491,100229,6.549,100229,10,6.55
"K6(6,3)",p5+wide,14,10,45,-1.0,-1,45.0,730016,16,45.0
"K8(9,4)",p5,20,10800,100,4.2572,28,4.257,28,10773,4.26
"K8(9,4)",p5+wide,4,10800,100,3.4526,23,3.453,23,10775,3.45
"K6(6,3)",p5+ucache,16,10,45,3.8149,54773,3.815,54773,10,3.82
"K6(8,4)",p5+ucache,5,20,90,1.0155,592,1.015,592,18,1.02
"K8(9,4)",p5,1,10800,100,4.7949,32,4.795,32,10791,4.8
"K6(6,3)",p5,3,10,45,5.1976,82735,5.198,82735,10,5.2
"K6(8,4)",p5+wide,8,20,90,1.0769,624,1.077,624,20,1.08
"K8(9,4)",base,18,10800,100,25.8767,31,25.877,31,10774,25.88
"K6(6,3)",p5+upick,2,10,45,-1.0,-1,45.001,547424,13,45.0
"K6(6,3)",p5+wide,13,10,45,17.9996,282044,18.0,282044,10,18.0
"K6(6,3)",p5+upick,3,10,45,-1.0,-1,45.0,540944,37,45.0
"K6(8,4)",p5+ucache,19,20,90,2.3481,1308,2.348,1308,20,2.35
"K8(9,4)",p5+wide,20,10800,100,3.348,23,3.348,23,10798,3.35
"K6(8,4)",p5+fix0,13,20,90,0.8876,486,0.888,486,20,0.89
"K6(8,4)",p5,13,20,90,1.2378,684,1.238,684,20,1.24
"K6(6,3)",base,2,10,45,5.4681,38423,5.468,38423,10,5.47
"K6(6,3)",p5+fix0,10,10,45,2.6014,40961,2.601,40961,9,2.6
"K6(8,4)",p5+upick,4,20,90,1.6114,923,1.611,923,20,1.61
"K6(8,4)",base,1,20,90,9.4053,966,9.405,966,20,9.41
"K6(8,4)",p5+upick,2,20,90,7.443,4336,7.443,4336,20,7.44
"K8(9,4)",p5,16,10800,100,4.2176,30,4.218,30,10777,4.22
"K6(8,4)",p5+upick,19,20,90,4.9337,2941,4.934,2941,20,4.93
"K6(6,3)",p5+ucache,7,10,45,0.2833,4478,0.283,4478,10,0.28
"K6(6,3)",p5,1,10,45,1.5745,23689,1.575,23689,8,1.57
"K6(8,4)",p5+wide,4,20,90,0.5663,323,0.566,323,20,0.57
"K6(6,3)",p5+fix0,4,10,45,-1.0,-1,45.001,753824,14,45.0
"K8(9,4)",p5,11,10800,100,4.186,28,4.186,28,10794,4.19
