variant,cell,seed,rep,cpu,iters,uncovered,wall
p1 walk+hoist,"K6(8,4)",3,0,5.054,600,19,5.07
p3 +shared sphere,"K6(8,4)",2,0,3.062,600,21,3.07
p1 walk+hoist,"K6(6,3)",2,1,2.158,20000,24,2.17
p4 +uncov. list,"K6(6,3)",3,2,1.311,20000,25,1.32
p5 +hugepages,"K6(6,3)",1,0,1.323,20000,26,1.33
base,"K6(6,3)",1,0,2.885,20000,26,2.89
base,"K6(6,3)",2,1,2.915,20000,24,2.92
p1 walk+hoist,"K8(9,4)",2,1,36.608,50,10250,36.64
p1 walk+hoist,"K6(8,4)",3,2,5.177,600,19,5.18
p5+prefetch,"K6(6,3)",1,2,1.34,20000,26,1.35
p5b 2-bit+shared,"K6(8,4)",2,2,0.943,600,21,0.95
p2 +uint8 state,"K6(8,4)",2,0,3.549,600,21,3.56
p2b 2-bit state,"K6(6,3)",1,0,3.538,20000,26,3.56
p5b 2-bit+shared,"K6(8,4)",1,0,0.966,600,25,0.97
p1 walk+hoist,"K6(6,3)",3,2,2.145,20000,25,2.15
p2 +uint8 state,"K8(9,4)",1,1,25.316,50,10345,25.32
p5+prefetch,"K6(6,3)",1,1,1.325,20000,26,1.33
p5b 2-bit+shared,"K8(9,4)",2,0,4.324,50,10250,4.32
p5 +hugepages,"K6(6,3)",2,1,1.282,20000,24,1.28
p5+prefetch,"K6(6,3)",3,2,1.314,20000,25,1.32
p5b 2-bit+shared,"K6(6,3)",1,2,1.366,20000,26,1.37
p3 +shared sphere,"K8(9,4)",2,0,19.92,50,10250,19.92
p5 +hugepages,"K6(8,4)",3,0,1.163,600,19,1.17
p2 +uint8 state,"K6(8,4)",2,2,3.501,600,21,3.5
p5b 2-bit+shared,"K6(6,3)",3,2,1.352,20000,25,1.37
p3 +shared sphere,"K6(8,4)",1,0,3.054,600,25,3.07
p2 +uint8 state,"K6(6,3)",2,0,2.279,20000,24,2.28
base,"K6(6,3)",1,1,2.876,20000,26,2.88
p4 +uncov. list,"K6(8,4)",1,1,1.16,600,25,1.17
p5+prefetch,"K6(6,3)",2,0,1.29,20000,24,1.29
base,"K8(9,4)",1,1,40.763,50,10345,40.76
p5 +hugepages,"K6(6,3)",2,2,1.287,20000,24,1.3
p4 +uncov. list,"K6(8,4)",3,0,1.18,600,19,1.18
p4 +uncov. list,"K6(6,3)",2,2,1.287,20000,24,1.29
p5b 2-bit+shared,"K6(8,4)",3,1,0.96,600,19,0.96
p2b 2-bit state,"K6(8,4)",2,1,4.263,600,21,4.26
base,"K6(8,4)",1,2,5.821,600,25,5.83
p3 +shared sphere,"K6(8,4)",1,1,2.854,600,25,2.85
base,"K6(6,3)",3,1,2.882,20000,25,2.88
p5+prefetch,"K6(8,4)",1,0,0.995,600,25,0.99
p5 +hugepages,"K6(6,3)",3,1,1.314,20000,25,1.31
p5b 2-bit+shared,"K8(9,4)",3,0,3.915,50,10275,3.92
p1 walk+hoist,"K6(6,3)",1,0,2.131,20000,26,2.13
p1 walk+hoist,"K6(6,3)",3,0,2.119,20000,25,2.12
p1 walk+hoist,"K6(6,3)",3,1,2.146,20000,25,2.15
p5 +hugepages,"K6(8,4)",1,0,1.026,600,25,1.03
base,"K6(6,3)",2,0,2.903,20000,24,2.9
p5+prefetch,"K6(8,4)",3,0,1.032,600,19,1.03
p3 +shared sphere,"K6(6,3)",2,1,2.186,20000,24,2.19
base,"K8(9,4)",3,0,38.874,50,10275,38.88
p5 +hugepages,"K8(9,4)",3,0,6.406,50,10275,6.41
base,"K8(9,4)",3,1,38.938,50,10275,38.94
p5+prefetch,"K8(9,4)",1,1,6.478,50,10345,6.48
p2 +uint8 state,"K6(8,4)",1,2,3.388,600,25,3.39
p5b 2-bit+shared,"K6(8,4)",3,2,0.858,600,19,0.86
p1 walk+hoist,"K6(6,3)",1,1,2.133,20000,26,2.13
base,"K8(9,4)",1,0,39.118,50,10345,39.12
p2 +uint8 state,"K8(9,4)",2,1,23.389,50,10250,23.39
p5 +hugepages,"K6(8,4)",1,2,1.023,600,25,1.02
p2 +uint8 state,"K6(6,3)",2,2,2.259,20000,24,2.26
p3 +shared sphere,"K6(6,3)",1,0,2.204,20000,26,2.2
p5+prefetch,"K6(6,3)",2,2,1.294,20000,24,1.29
p2b 2-bit state,"K6(8,4)",3,0,4.209,600,19,4.21
p2 +uint8 state,"K6(6,3)",3,0,2.266,20000,25,2.27
p5b 2-bit+shared,"K8(9,4)",2,1,3.875,50,10250,3.88
p5+prefetch,"K6(8,4)",2,1,1.02,600,21,1.02
p5+prefetch,"K6(8,4)",3,2,1.045,600,19,1.04
p3 +shared sphere,"K6(8,4)",2,1,2.783,600,21,2.78
p4 +uncov. list,"K6(8,4)",2,2,0.984,600,21,0.98
