DONE q=10 n=10 R=2 rc=0 prec=200 :: q=10 n=10 R=2  certified SDP value 19668726168902258688.000000  cube root 2699347.174994  => K >= 2699348   (phase=pdOPT theta=1.0)
DONE q=8 n=10 R=2 rc=0 prec=200 :: q=8 n=10 R=2  certified SDP value 109098260103957952.000000  cube root 477829.114560  => K >= 477830   (phase=pdOPT theta=1.0)
REROUND 9 9 3 rc=0 q=9 n=9 R=3  certified SDP value 654929318833.889404  cube root 8684.233208  => K >= 8685   (phase=pdOPT theta=1.0)
REROUND 7 9 3 rc=0 q=7 n=9 R=3  certified SDP value 9833106683.953060  cube root 2142.382031  => K >= 2143   (phase=pdOPT theta=1.0)
REROUND 19 7 3 rc=0 q=19 n=7 R=3  certified SDP value 78489761764.701920  cube root 4281.582700  => K >= 4282   (phase=pdOPT theta=1.0)
REROUND 20 7 3 rc=0 q=20 n=7 R=3  certified SDP value 141805510629.587006  cube root 5214.720501  => K >= 5215   (phase=pdOPT theta=1.0)
REROUND 20 8 3 rc=0 q=20 n=8 R=3  certified SDP value 276533350307228.906250  cube root 65150.212778  => K >= 65151   (phase=pdOPT theta=1.0)
DONE q=6 n=10 R=4 rc=0 prec=200 :: q=6 n=10 R=4  certified SDP value 85617976.090960  cube root 440.745939  => K >= 441   (phase=pdOPT theta=1.0)
REROUND 9 8 3 rc=0 q=9 n=8 R=3  certified SDP value 3133484564.067469  cube root 1463.330821  => K >= 1464   (phase=pdOPT theta=1.0)
REROUND 14 8 3 rc=0 q=14 n=8 R=3  certified SDP value 1587550197533.359619  cube root 11665.655725  => K >= 11666   (phase=pdOPT theta=1.0)
REROUND 7 8 2 rc=0 q=7 n=8 R=2  certified SDP value 178484959096.665222  cube root 5630.330319  => K >= 5631   (phase=pdOPT theta=1.0)
REROUND 8 8 2 rc=0 q=8 n=8 R=2  certified SDP value 1741971113834.489990  cube root 12032.253771  => K >= 12033   (phase=pdOPT theta=1.0)
REROUND 6 8 2 rc=0 q=6 n=8 R=2  certified SDP value 13260390675.322559  cube root 2366.930139  => K >= 2367   (phase=pdOPT theta=1.0)
REROUND 7 7 2 rc=0 q=7 n=7 R=2  certified SDP value 1260367661.176220  cube root 1080.187342  => K >= 1081   (phase=pdOPT theta=1.0)
